car_id,name,price,litres_on_100km,seats,transmission,horsepower,fuel,photo
1,Mercedes-Benz C-Class C 300 Sedan (2020),41400,10,5,shiftable automatic,255,petrol,http://media.ed.edmunds-media.com/mercedes-benz/c-class/2015/oem/2015_mercedes-benz_c-class_sedan_amg-c63-s_fq_oem_2_300.jpg
2,Mercedes-Benz C-Class AMG C 43 Sedan (2020),55950,13,5,shiftable automatic,385,petrol,http://media.ed.edmunds-media.com/mercedes-benz/cla-class/2014/oem/2014_mercedes-benz_cla-class_sedan_cla45-amg_fq_oem_5_300.jpg
3,Mercedes-Benz C-Class C 300 Convertible (2019),51850,12,4,shiftable automatic,255,petrol,http://media.ed.edmunds-media.com/mercedes-benz/cls-class/2015/oem/2015_mercedes-benz_cls-class_sedan_cls63-amg-4matic-s-model_fq_oem_1_300.jpg
4,Mercedes-Benz C-Class AMG C 63 Sedan (2019),67000,14,5,shiftable automatic,469,petrol,http://media.ed.edmunds-media.com/mercedes-benz/s-class/2015/oem/2015_mercedes-benz_s-class_coupe_s550-4matic_fq_oem_2_300.jpg
5,Mercedes-Benz C-Class AMG C 63 S Coupe (2020),77500,14,4,shiftable automatic,503,petrol,http://media.ed.edmunds-media.com/mercedes-benz/e-class/2015/oem/2015_mercedes-benz_e-class_sedan_e400-sport-4matic_fq_oem_1_300.jpg
6,BMW 3 Series 330i Sedan (2020),40750,9,5,shiftable automatic,255,petrol,http://media.ed.edmunds-media.com/bmw/2-series/2015/oem/2015_bmw_2-series_convertible_228i_fq_oem_4_300.jpg
7,BMW 3 Series M340i Sedan (2020),54000,11,5,shiftable automatic,382,petrol,http://media.ed.edmunds-media.com/bmw/3-series/2014/oem/2014_bmw_3-series_wagon_328i-xdrive_fq_oem_3_300.jpg
8,BMW 3 Series 320i Sedan (2018),34900,10,5,shiftable automatic,180,petrol,http://media.ed.edmunds-media.com/bmw/3-series-gran-turismo/2014/oem/2014_bmw_3-series-gran-turismo_4dr-hatchback_335i-xdrive_fq_oem_4_300.jpg
9,BMW 3 Series Diesel 328d Wagon (2018),46150,8,5,shiftable automatic,180,diesel,http://media.ed.edmunds-media.com/bmw/4-series/2014/oem/2014_bmw_4-series_coupe_435i_fq_oem_4_300.jpg
10,BMW 3 Series Hybrid 330e Sedan (2017),44100,9,5,shiftable automatic,180,hybrid,http://media.ed.edmunds-media.com/bmw/5-series/2015/oem/2015_bmw_5-series_sedan_535i_fq_oem_4_300.jpg
11,Audi A4 Premium Plus 45 TFSI Sedan (2020),44000,11,5,shiftable automatic,248,petrol,http://media.ed.edmunds-media.com/audi/a3/2015/oem/2015_audi_a3_sedan_20-tfsi-premium-plus-quattro_fq_oem_2_300.jpg
12,Audi A4 2.0 TFSI Premium Plus Sedan (2019),42900,9,5,shiftable automatic,188,petrol,http://media.ed.edmunds-media.com/audi/a4/2013/oem/2013_audi_a4_sedan_20t-premium-quattro_fq_oem_3_300.jpg
13,Audi A4 2.0 TFSI Titanium Sedan (2019),39200,9,5,shiftable automatic,188,petrol,http://media.ed.edmunds-media.com/audi/a5/2015/oem/2015_audi_a5_coupe_20t-premium-quattro_fq_oem_5_300.jpg
14,Audi A4 2.0 TFSI ultra Premium Sedan (2017),34900,9,5,shiftable automatic,190,petrol,http://media.ed.edmunds-media.com/audi/s5/2015/oem/2015_audi_s5_coupe_prestige-quattro_fq_oem_4_300.jpg
15,Volkswagen Passat Wolfsburg Edition Sedan (2019),25295,10,5,shiftable automatic,174,petrol,http://media.ed.edmunds-media.com/volkswagen/beetle/2013/oem/2013_volkswagen_beetle_2dr-hatchback_20t-turbo_fq_oem_2_300.jpg
16,Volkswagen Passat SE R-Line Sedan (2019),29995,10,5,shiftable automatic,174,petrol,http://media.ed.edmunds-media.com/volkswagen/beetle-convertible/2014/oem/2014_volkswagen_beetle-convertible_convertible_r-line_fq_oem_1_300.jpg
17,Volkswagen Passat R-Line Sedan (2018),24995,10,5,shiftable automatic,174,petrol,http://media.ed.edmunds-media.com/volkswagen/cc/2013/oem/2013_volkswagen_cc_sedan_r-line_fq_oem_1_300.jpg
18,Volkswagen Passat SEL Premium Sedan (2018),31650,10,5,shiftable automatic,174,petrol,http://media.ed.edmunds-media.com/volkswagen/gti/2013/oem/2013_volkswagen_gti_4dr-hatchback_base_fq_oem_2_300.jpg
19,Volkswagen Passat S Sedan (2018),22995,10,5,shiftable automatic,174,petrol,http://media.ed.edmunds-media.com/volkswagen/jetta-hybrid/2013/oem/2013_volkswagen_jetta-hybrid_sedan_sel-premium_fq_oem_2_300.jpg
20,Toyota Avalon Limited Sedan (2020),42175,11,5,shiftable automatic,301,petrol,http://media.ed.edmunds-media.com/toyota/4runner/2014/oem/2014_toyota_4runner_4dr-suv_sr5-premium_fq_oem_2_300.jpg
21,Toyota Avalon XLE Sedan (2020),35875,11,5,shiftable automatic,301,petrol,http://media.ed.edmunds-media.com/toyota/avalon-hybrid/2013/oem/2013_toyota_avalon-hybrid_sedan_xle-premium_fq_oem_1_300.jpg
22,Toyota Avalon XSE Sedan (2020),38375,11,5,shiftable automatic,301,petrol,http://media.ed.edmunds-media.com/toyota/camry/2012/oem/2012_toyota_camry_sedan_xle_fq_oem_12_300.jpg
23,Toyota Avalon XLE Sedan (2018),33500,12,5,shiftable automatic,268,petrol,http://media.ed.edmunds-media.com/toyota/camry-hybrid/2013/oem/2013_toyota_camry-hybrid_sedan_xle_fq_oem_6_300.jpg
24,Toyota Camry SE Sedan (2020),26170,9,5,shiftable automatic,203,petrol,http://media.ed.edmunds-media.com/toyota/highlander/2014/oem/2014_toyota_highlander_4dr-suv_limited_fq_oem_1_300.jpg
25,Toyota Camry LE Sedan (2019),24600,9,5,shiftable automatic,203,petrol,http://media.ed.edmunds-media.com/toyota/prius/2012/oem/2012_toyota_prius_4dr-hatchback_five_fq_oem_1_300.jpg
26,Jaguar XE S Sedan (2020),39900,10,5,continuous automatic,247,petrol,http://media.ed.edmunds-media.com/jaguar/xf/2014/oem/2014_jaguar_xf_sedan_xfr-s_fq_oem_3_300.jpg
27,Jaguar XE R-Dynamic S Sedan (2020),46295,11,5,shiftable automatic,296,petrol,http://media.ed.edmunds-media.com/jaguar/xj/2014/oem/2014_jaguar_xj_sedan_xjr_fq_oem_2_300.jpg
28,Jaguar XE 30t R-Sport Sedan (2019),51635,11,5,shiftable automatic,296,petrol,http://media.ed.edmunds-media.com/jaguar/f-type/2014/oem/2014_jaguar_f-type_convertible_s_fq_oem_1_300.jpg
29,Jaguar XE 20d Sedan (2019),38515,8,5,continuous automatic,180,diesel,http://media.ed.edmunds-media.com/jaguar/xf/2014/oem/2014_jaguar_xf_sedan_xfr-s_fq_oem_3_300.jpg
30,Jaguar XE 25t Landmark Sedan (2019),48990,10,5,continuous automatic,247,petrol,http://media.ed.edmunds-media.com/jaguar/xf/2014/oem/2014_jaguar_xf_sedan_xfr-s_fq_oem_3_300.jpg
31,Jaguar XE 20d Turbodiesel Sedan (2018),37225,8,5,continuous automatic,180,diesel,http://media.ed.edmunds-media.com/jaguar/xj/2014/oem/2014_jaguar_xj_sedan_xjr_fq_oem_2_300.jpg
32,Alfa Romeo Giulia Ti Sedan (2020),41400,11,5,shiftable automatic,280,petrol,http://media.ed.edmunds-media.com/alfa-romeo/4c/2015/oem/2015_alfa-romeo_4c_coupe_base_fq_oem_20_300.jpg
33,Alfa Romeo Giulia Sedan (2020),39400,11,5,shiftable automatic,280,petrol,http://media.ed.edmunds-media.com/alfa-romeo/4c/2015/oem/2015_alfa-romeo_4c_coupe_base_fq_oem_20_300.jpg
34,Alfa Romeo Giulia Ti Sport Sedan (2020),46400,11,5,shiftable automatic,280,petrol,http://media.ed.edmunds-media.com/alfa-romeo/4c/2015/oem/2015_alfa-romeo_4c_coupe_base_fq_oem_20_300.jpg
35,Alfa Romeo Giulia Quadrifoglio Sedan (2020),74500,14,5,shiftable automatic,505,petrol,http://media.ed.edmunds-media.com/alfa-romeo/4c/2015/oem/2015_alfa-romeo_4c_coupe_base_fq_oem_20_300.jpg
36,Alfa Romeo Giulia Ti Lusso Sedan (2019),42995,11,5,shiftable automatic,280,petrol,http://media.ed.edmunds-media.com/alfa-romeo/4c/2015/oem/2015_alfa-romeo_4c_coupe_base_fq_oem_20_300.jpg
37,Ford Fusion SE Sedan (2020),24500,11,5,continuous automatic,181,petrol,http://media.ed.edmunds-media.com/ford/f-250-super-duty/2014/oem/2014_ford_f-250-super-duty_extended-cab-pickup_lariat_fq_oem_2_300.jpg
38,Ford Fusion SEL Sedan (2020),28690,11,5,continuous automatic,181,petrol,http://media.ed.edmunds-media.com/ford/focus/2015/oem/2015_ford_focus_4dr-hatchback_electric_fq_oem_2_300.jpg
39,Ford Fusion Titanium Sedan (2020),34450,11,5,shiftable automatic,245,petrol,http://media.ed.edmunds-media.com/ford/f-250-super-duty/2014/oem/2014_ford_f-250-super-duty_extended-cab-pickup_lariat_fq_oem_2_300.jpg
40,Ford Fusion Sport Sedan (2019),40015,14,5,shiftable automatic,325,petrol,http://media.ed.edmunds-media.com/ford/f-450-super-duty/2015/oem/2015_ford_f-450-super-duty_crew-cab-pickup_lariat_fq_oem_3_300.jpg
41,Ford Fusion S Sedan (2019),22840,11,5,continuous automatic,173,petrol,http://media.ed.edmunds-media.com/ford/f-250-super-duty/2014/oem/2014_ford_f-250-super-duty_extended-cab-pickup_lariat_fq_oem_2_300.jpg
